Unit 1,Unit 2,Length of shared border
290950058011,290950058012,0.498487926
290950149032,290950149033,4.008647406
290950149031,290950149032,9.469810313
291070901003,290950149032,4.030706722
290950149032,290950140043,4.393826336
290950149032,290950140041,0
290950149032,290950140042,0
290950149032,290950140043,0
290950140041,290950140042,0
290950140041,290950140043,0
290950140042,290950140043,0
290950149032,290950140041,3.451869044
290950149032,290950140021,2.411463102
290950140021,290950149032,0
290950140021,290950140092,0
290950140021,290950140082,0
290950149032,290950140092,0
290950149032,290950140082,0
290950140092,290950140082,0
290950149032,290950140092,3.942387913
290950149032,290950140091,0
290950149032,290950149033,0
290950149032,290950140092,0
290950140091,290950149033,0
290950140091,290950140092,0
290950149033,290950140092,0
290950146014,290950146032,0.546508356
290950146014,290950146033,0
290950146014,290950146032,0
290950146014,290950146013,0
290950146033,290950146032,0
290950146033,290950146013,0
290950146032,290950146013,0
290950146033,290950146032,1.547986404
290950146043,290950146032,0.706281043
290950145012,290950146032,1.556971694
290950146014,290950145012,0
290950146014,290950146032,0
290950146014,290950145014,0
290950145012,290950146032,0
290950145012,290950145014,0
290950146032,290950145014,0
290950018002,290950018001,0.530024662
290950009004,290950018001,0.688634466
290950008004,290950018001,0.046456145
290950019004,290950018001,0.526628622
290950019003,290950019004,0
290950019003,290950018004,0
290950019003,290950018001,0
290950019004,290950018004,0
290950019004,290950018001,0
290950018004,290950018001,0
290950018004,290950018001,0.73296107
290950018002,290950018004,0
290950018002,290950018003,0
290950018002,290950018001,0
290950018004,290950018003,0
290950018004,290950018001,0
290950018003,290950018001,0
290950167004,290950167002,0.502296529
290950167003,290950167002,0.502552876
290950178004,290950167002,0.249536341
290950051002,290950167002,0.24942766
290950167001,290950167002,0.502832059
290950018003,290950154021,0.501118975
290950018002,290950018003,0.74826704
290950018004,290950018003,0.503449782
290950018003,290950160001,0.745704147
290950161002,290950018003,0
290950161002,290950154021,0
290950161002,290950160001,0
290950018003,290950154021,0
290950018003,290950160001,0
290950154021,290950160001,0
290950083002,290950082004,0.459597417
290950082003,290950082004,0.992386466
290950081002,290950082004,0.4667297
290950087002,290950086001,0
290950087002,290950081002,0
290950087002,290950082004,0
290950086001,290950081002,0
290950086001,290950082004,0
290950081002,290950082004,0
290950086001,290950082004,0.497673065
290950086002,290950082004,0.496345971
290950086003,290950083002,0
290950086003,290950086002,0
290950086003,290950082004,0
290950083002,290950086002,0
290950083002,290950082004,0
290950086002,290950082004,0
290950169003,290950061002,0.995777237
290950056022,290950169003,0
290950056022,290950061002,0
290950056022,290950055001,0
290950169003,290950061002,0
290950169003,290950055001,0
290950061002,290950055001,0
290950056022,290950061002,0.494461205
290950061002,290950056021,0.244379534
290950061003,290950061002,1.002836785
290950061001,290950061002,0.738793848
290950169003,290950061001,0
290950169003,290950061002,0
290950169003,290950063002,0
290950061001,290950061002,0
290950061001,290950063002,0
290950061002,290950063002,0
290950069001,290950168011,0.406213892
290950069001,290950168012,0.18586653
290950066001,290950069001,0
290950066001,290950067001,0
290950066001,290950168012,0
290950069001,290950067001,0
290950069001,290950168012,0
290950067001,290950168012,0
290950066001,290950069001,1.00263924
290950073012,290950069001,0.139903984
290950069001,290950073022,0.678281506
290950019003,290950019002,0.599108321
290950019003,290950019004,0
290950019003,290950019002,0
290950019003,290950019001,0
290950019004,290950019002,0
290950019004,290950019001,0
290950019002,290950019001,0
290950019002,290950019001,1.499253245
290950019002,290950020001,0.003763509
290950020002,290950019002,0.509919382
290950021003,290950019002,0.003006013
290950019002,290950022001,0.91895007
290950019002,290950022003,0.557679956
290950019002,290950023001,0.111685604
290950007001,290950007002,1.339434528
290950006004,290950006001,0
290950006004,290950007001,0
290950006004,290950007002,0
290950006001,290950007001,0
290950006001,290950007002,0
290950007001,290950007002,0
290950006004,290950007001,0.854231105
290950006004,290950007001,0
290950006004,290950006002,0
290950006004,290950007003,0
290950007001,290950006002,0
290950007001,290950007003,0
290950006002,290950007003,0
290950007001,290950007003,0.501328387
290950090002,290950090003,1.036118562
290950087002,290950090002,0.034936434
290950090002,290950087001,0.273534768
290950090001,290950090002,1.193894923
290950090002,290950090005,0.546880852
290950090002,290950090003,0
290950090002,290950090004,0
290950090002,290950090005,0
290950090003,290950090004,0
290950090003,290950090005,0
290950090004,290950090005,0
290950074002,290950074003,0.808515759
290950074002,290950073011,0.24083104
290950074002,290950073012,0.272190546
290950074002,290950074001,0.892759329
290950074002,290950074004,0.565204259
290950051002,290950167001,0.4985495
290950178004,290950051002,0.377316846
290950051002,290950051001,0.900038544
290950067002,290950051002,0
290950067002,290950065001,0
290950067002,290950051001,0
290950051002,290950065001,0
290950051002,290950051001,0
290950065001,290950051001,0
290950067002,290950051002,0.655858949
290950067002,290950051002,0
290950067002,290950168012,0
290950067002,290950167001,0
290950051002,290950168012,0
290950051002,290950167001,0
290950168012,290950167001,0
290950056022,290950056021,0.99568781
290950056022,290950056011,0
290950056022,290950056012,0
290950056022,290950056021,0
290950056011,290950056012,0
290950056011,290950056021,0
290950056012,290950056021,0
290950056012,290950056021,0.493857677
290950057001,290950056021,0.998106978
290950057001,290950061003,0
290950057001,290950060001,0
290950057001,290950056021,0
290950061003,290950060001,0
290950061003,290950056021,0
290950060001,290950056021,0
290950061003,290950056021,0.251267797
290950139163,290950139162,0.695512922
290959891001,290950139162,8.024434816
290950139164,290950139162,1.493106353
290950128042,290950128041,1.032289822
290950128041,290950128043,0.571268353
290950128041,290950128045,0.248242002
290950128044,290950128041,1.004729798
290950129042,290950129041,0
290950129042,290950128041,0
290950129042,290950128044,0
290950129041,290950128041,0
290950129041,290950128044,0
290950128041,290950128044,0
290950129041,290950128041,0.500483007
290950128041,290950129043,0.312952823
290950156003,290950118001,0.396827322
290950156002,290950118001,0.736261836
290950156002,290950110021,0
290950156002,290950118001,0
290950156002,290950118002,0
290950110021,290950118001,0
290950110021,290950118002,0
290950118001,290950118002,0
290950118001,290950118002,0.785085858
290950118003,290950118001,0.415864151
290950118004,290950118001,0.105974671
290950118005,290950118001,1.231977503
290950156001,290950118001,0.791393195
290950123001,290950146041,0.458686114
290950146041,290950123002,0.598228259
290950115013,290950146041,0
290950115013,290950114102,0
290950115013,290950123002,0
290950146041,290950114102,0
290950146041,290950123002,0
290950114102,290950123002,0
290950146041,290950114102,1.242827373
290950146041,290950114102,0
290950146041,290950147022,0
290950146041,290950114082,0
290950114102,290950147022,0
290950114102,290950114082,0
290950147022,290950114082,0
290950146041,290950147022,0.767675363
290950146041,290950146044,1.055284961
290950146041,290950146042,0.606939535
290950065001,290950051001,0.84640505
290950169001,290950051001,0
290950169001,290950065001,0
