GEOID20,POP20,votes_dem,votes_gop,WHITEPOP,BLACKPOP,HISPLATPOP
291950905003,2508,307.9534919,359.2369952,1457,346,505
291950906001,1214,195.0434223,226.6225022,824,47,256
291950906002,850,146.031056,168.5921327,553,49,191
291950906003,890,101.2476362,122.4126125,462,53,262
291950907001,633,126.4602332,209.4428105,597,6,8
291950907002,823,146.4665584,238.3651344,791,5,6
291950907003,1064,188.8718223,307.0309926,970,17,13
291950908001,994,186.7156027,281.6385876,945,5,21
291950908002,761,169.9662575,255.9085066,736,1,8
291950908003,578,107.2506924,159.2074358,545,7,10
291974701001,1214,190.5521774,312.6530802,1169,0,15
291974701002,668,122.5604494,199.8640995,633,0,14
291974702001,853,139.6066201,214.613152,822,0,11
291974702002,683,114.1308557,173.5305431,667,0,4
291974702003,614,81.44576091,97.68735273,587,0,3
291994801001,739,109.5500117,152.3573321,711,3,6
291994801002,462,68.2521443,110.7251989,445,1,4
291994801003,1632,236.7939699,395.9088893,1605,3,8
291994802001,622,87.07046792,148.4230612,581,3,2
291994802002,684,100.4915692,164.6838821,664,0,5
291994802003,577,80.86135673,137.7129479,544,2,10
292017801001,1587,2.1558422,3.63996379,1470,14,26
292017801002,946,0,0,893,7,38
292017801003,627,0,0,589,8,11
292017802001,1591,269.5602459,447.4525235,1507,5,13
292017802002,1521,237.25,392.2837838,1388,18,38
292017802003,1053,164.25,271.5810811,971,7,13
292017803001,1217,208.5164412,356.1800782,1125,16,27
292017803002,1358,246.0250628,449.3036758,1281,4,31
292017804001,832,139.5205909,207.8732182,604,144,23
292017804002,1570,272.8568852,433.6404286,1397,50,22
292017804003,1051,176.6054425,328.145574,1011,6,15
292017804004,1533,250.9626758,465.0251113,1414,13,28
292017806001,1588,247.8040665,387.8100213,1240,198,76
292017806002,1006,166.0717445,280.1573829,828,71,30
292017806003,753,110.3190718,156.6315673,633,89,26
292017806004,859,138.4658428,198.8689245,677,112,14
292017807001,1177,211.9597479,310.0584141,908,196,20
292017807002,1104,183.4934122,105.5693216,181,831,16
292017807003,611,101.5529664,58.42649955,49,532,13
292017810001,1630,206.9453984,299.3024312,1532,7,34
292017810002,1158,122.5721162,182.2916952,1058,11,36
292017810003,1231,117.572966,163.187545,1124,31,41
292017811001,1056,0,0,992,7,16
292017811002,1499,308.42132,512.6064433,1447,3,22
292017811003,675,14.01297424,23.65976465,625,5,11
292017812011,595,99.57835065,65.17634224,290,252,18
292017812012,649,107.8688627,62.06022617,137,474,8
292017812013,479,80.0700094,51.32396922,174,217,61
292017812014,823,142.0135405,206.4239406,525,239,37
292017812021,1173,172.4828651,246.9264261,983,137,23
292017812022,603,88.34316117,125.4300598,401,131,23
292017812023,535,78.38074825,111.2853765,320,165,13
292017812024,869,143.018843,205.8899454,651,134,39
292017813001,1495,269.8064997,400.8407499,1367,35,26
292017813002,683,123.2627687,183.1265767,513,93,25
292017813003,922,166.3957141,247.2074725,608,240,22
292034701001,662,154.8816025,238.6291076,610,1,13
292034701002,816,166.629628,235.1718967,773,0,7
292034701003,799,164.9928218,305.4109498,751,1,13
292034701004,603,122.4269093,169.578759,569,2,13
292034702001,1126,206.6598567,339.367445,1026,0,26
292034702002,697,103.8738977,176.007866,636,2,28
292034702003,1137,188.8648432,321.0932947,1054,0,17
292034702004,1191,257.2259963,406.0740151,1087,1,24
292054501001,1232,217.1330544,374.7777071,1147,14,36
292054501002,570,106.2427942,175.1169889,532,1,8
292054502001,857,103.7563255,171.7578431,829,1,10
292054502002,802,155.8953529,255.0015181,757,3,9
292054502003,883,171.6403947,280.7560356,838,0,21
292054503001,932,118.0063359,207.2411586,902,3,11
292054503002,827,136.3929358,237.5792232,786,2,22
292074701001,502,76.0095813,140.9923522,428,17,12
292074701002,680,109.8986623,201.6308084,657,2,8
292074701003,1655,280.3444117,517.6618496,1566,6,12
292074701004,797,134.243258,243.4816811,764,4,8
292074702001,930,140.6444329,277.4282686,874,2,15
292074702002,1253,215.4568672,407.1900137,1185,3,13
292074702003,1046,153.9400187,310.4153069,969,5,26
292074702004,837,131.4695322,262.2972973,798,1,4
292074703001,1004,144.7477272,271.9087338,963,4,9
292074703002,874,132.3710815,233.3601013,807,12,23
292074703003,1384,212.1075897,364.670815,1320,3,17
292074703004,828,138.358087,238.0104509,785,0,9
292074704001,600,96.77247835,167.694697,552,14,11
292074704002,912,165.6393659,260.4492535,816,45,13
292074704003,1038,174.651212,297.754717,1000,3,19
292074705001,1352,160.1416316,302.7420931,1247,17,50
292074705002,1131,137.8928131,253.732242,1065,16,32
292074705003,1018,114.7442075,218.6652715,898,16,69
292074706001,1308,180.3772391,307.056474,1197,13,65
292074706002,2095,353.6764392,554.210459,2006,13,15
292074706003,905,108.0236576,196.9277843,829,15,23
