Unit 1,Unit 2,Length of border
29077004402,29077005100,0.0
29077004402,29077005201,1.641920764
29077004402,29077005202,3.779757878
29077004402,29077005600,3.00339604
29077004500,29077004601,4.256038404
29077004500,29077005201,8.549785301
29077004601,29077004602,17.54179882
29077004601,29077004700,11.90503103
29077004601,29077005201,6.486517708
29077004601,29225,13.500796642000001
29077004602,29077005201,6.821207263
29077004602,29077005202,6.856061438
29077004602,29059,11.99459678
29077004602,29167,0.0
29077004602,29225,13.03034821
29077004700,29043,11.900239210999999
29077004700,29225,20.242518240000003
29077004802,29077004803,6.820574934
29077004802,29077004804,8.518131465
29077004802,29077004805,0.0
29077004802,29043,2.011747833
29077004803,29077004804,0.0
29077004803,29077004805,8.688452601
29077004803,29077004900,6.570872393
29077004803,29043,3.935325976
29077004804,29077004805,8.373043322
29077004804,29043,8.083228692
29077004805,29077004900,20.50248089
29077004900,29077005001,12.81657921
29077004900,29077005002,17.01515709
29077004900,29077005100,0.024230266
29077004900,29043,10.16129169
29077004900,29109,20.179564258
29077005001,29077005002,21.98457143
29077005001,29057,20.13655389
29077005001,29109,7.457209749
29077005001,29167,12.07770906
29077005002,29077005100,23.98317803
29077005002,29167,9.187070475
29077005100,29077005202,20.7299506
29077005100,29167,8.426679029
29077005201,29077005202,25.16854886
29077005202,29059,0.0
29077005202,29167,18.55917522
29077005500,29077005600,0.677697526
29077005801,29077005802,3.022742542
29095000300,29095001000,0.50365241
29095000300,29095015200,1.509877562
29095000300,29095015401,0.937552185
29095000300,29095015500,1.230586442
29095000300,29095015702,0.0
29095000300,29095015900,0.697860355
29095000600,29095000700,2.055237556
29095000600,29095001900,0.512840795
29095000600,29095015500,3.515646055
29095000700,29095000800,2.006268315
29095000700,29095001900,0.994940882
29095000700,29095015500,0.990675293
29095000800,29095000900,2.045273137
29095000800,29095001800,0.046456145
29095000800,29095001900,0.949739082
29095000800,29095015500,0.897047514
29095000900,29095001000,1.655322878
29095000900,29095001800,1.162217808
29095000900,29095015500,1.34761175
29095001000,29095001800,0.273978354
29095001000,29095015401,0.964283391
29095001000,29095015402,0.988476955
29095001000,29095015500,1.818902226
29095001100,29095015200,1.930254257
29095001100,29095015300,0.866455757
29095001100,29095015701,1.482845277
29095001100,29095015800,0.0
29095001800,29095001900,1.032567727
29095001800,29095002300,0.0
29095001800,29095015402,1.030876336
29095001800,29095016000,1.481892003
29095001800,29095016100,0.0
29095001900,29095002000,1.18602212
29095001900,29095002100,0.003006013
29095001900,29095002200,1.476630027
29095001900,29095002300,0.994252263
29095001900,29095015500,0.334982259
29095001900,29095016000,0.0
29095002000,29095002100,2.890119148
29095002000,29095015500,4.604957536
29095002100,29095002200,2.002506291
29095002100,29095003400,0.0
29095002100,29095015500,0.414222344
29095002100,29095015600,1.558495139
29095002100,29095016300,2.671804826
29095002100,29095017000,0.0
29095002200,29095002300,2.285169968
29095002200,29095003400,1.321266279
29095002200,29095016300,0.0
29095002300,29095003400,0.659565099
29095002300,29095016000,2.009814278
29095002300,29095016500,0.495649284
29095003400,29095016300,0.996164068
29095003400,29095016400,1.979675432
29095003400,29095016500,0.998230494
