GEOID20,POP20,votes_dem,votes_gop,WHITEPOP(non-Hisp),BLACKPOP,HISPLATPOP
29189210912,7155,2269.32812,1540.784468,1977,4662,130
29189210921,4072,1077.077479,705.522907,1214,2426,126
29189210923,5399,1294.945864,998.7658194,2234,2587,175
29189210924,4456,1288.551196,830.5006734,1121,2972,131
29189210925,5419,1378.67599,949.7917331,1704,3219,178
29189210926,2578,654.4555564,542.0843746,1161,1173,80
29189210927,4681,1710.243207,1158.679213,1430,2913,70
29189210928,4477,1627.185231,977.8433043,978,3165,78
29189211001,4302,1158.08285,783.215498,1425,2493,123
29189211002,3368,925.9060738,673.4511358,1397,1700,74
29189211101,7056,1585.003788,1191.190712,3071,3420,203
29189211102,5002,1406.821592,885.9090069,1200,3528,87
29189211201,5337,1167.202314,851.2572966,2158,2690,195
29189211202,3298,789.7022395,716.6216444,2249,783,84
29189211301,6432,1326.088994,1197.732199,3671,1965,239
29189211331,6067,1402.004114,1192.76379,3370,2005,168
29189211332,6293,1379.450616,1268.479066,3487,1847,382
29189211333,4918,1351.396484,1154.624226,2372,2024,127
29189211334,4258,975.339189,833.067338,2355,1470,129
29189211401,5325,1116.972245,975.6750234,2753,1890,294
29189211402,2274,465.4601738,319.1919819,758,1286,63
29189211500,2989,783.0958862,391.5936607,162,2591,94
29189211600,5855,1329.195126,854.5429934,1501,3765,187
29189211700,3828,1091.769448,712.0371236,1046,2497,74
29189211801,3553,930.4965778,485.7746104,315,3011,70
29189211802,3483,882.9713042,469.9096101,319,3015,47
29189211900,4495,853.6009113,387.826968,220,4053,72
29189212002,2866,625.8474601,294.515451,111,2613,43
29189212003,3441,832.1008247,376.9020584,217,3121,34
29189212004,3506,1059.18737,504.2170101,145,3266,13
29189212101,3467,771.9593247,378.3018548,180,3094,47
29189212102,2675,543.6484786,276.5788529,142,2424,30
29189212201,3792,1220.683662,586.4259921,118,3524,37
29189212202,2079,483.2846787,224.2733864,35,1955,6
29189212300,4623,1249.175137,662.8150729,667,3684,70
29189212400,2173,527.9314241,280.7382577,219,1839,49
29189212500,4599,1192.584449,708.8298604,757,3563,68
29189212600,4374,1184.522195,781.2069303,1314,2747,105
29189212701,3069,774.6313395,454.9854594,524,2320,86
29189212702,1881,451.9665338,274.7431401,428,1328,42
29189213102,377,92.4003447,72.45741603,245,55,25
29189213103,3278,800.9272326,752.1826472,1865,919,226
29189213104,1029,224.7165726,163.4230768,465,424,78
29189213202,7012,1508.911551,1407.630857,4359,828,305
29189213203,5014,1339.598728,1341.425194,3680,670,211
29189213204,3905,782.4508356,666.6302506,1873,999,450
29189213301,3429,621.5109992,481.6331328,1535,1321,255
29189213302,3726,692.5874015,497.399134,1362,1537,503
29189213401,4644,836.0126689,616.1391154,1585,1938,716
29189213402,1878,315.3788178,261.3873785,826,548,351
29189213500,5222,1011.263778,817.9114869,2592,1673,526
29189213600,3431,736.8935211,405.602806,448,2601,240
29189213701,836,179.0674976,109.193798,208,494,55
29189213702,3986,1105.480214,642.2136165,1119,2327,121
29189213800,4720,1375.092769,654.0603488,95,4416,58
29189213900,1437,375.1358848,168.2326465,19,1365,21
29189214100,1080,299.6831904,136.7110384,21,993,38
29189214200,2882,772.8552855,377.3092986,212,2492,63
29189214300,3714,869.5522259,520.5273943,951,2188,339
29189214400,4789,962.5663143,852.5799614,2544,1209,672
29189214500,3173,725.8823787,617.9084244,1715,696,399
