Unit 1,Unit 2,Length of shared border
29189221503,29189221502,16.11586195
29189221503,29189221421,0.387488019
29189221503,29099700306,8.128102515
29189221503,29099700402,25.5488443
29189221503,29071800703,0
29189221503,29071800801,0
29189221503,29099700402,0
29071800703,29071800801,0
29071800703,29099700402,0
29071800801,29099700402,0
29183311331,29183311221,2.249467093
29183311294,29183311221,1.189244842
29183311296,29183311221,0.687758374
29183311211,29183311221,1.194111044
29183311211,29183311147,0
29183311211,29183311149,0
29183311211,29183311221,0
29183311147,29183311149,0
29183311147,29183311221,0
29183311149,29183311221,0
29183311149,29183311221,2.822944669
29183311122,29183311221,0.687171317
29183311391,29183311311,2.669631239
29183311391,29183311294,0
29183311391,29183311203,0
29183311391,29183311311,0
29183311294,29183311203,0
29183311294,29183311311,0
29183311203,29183311311,0
29183311391,29183311294,1.537156895
29183311331,29183311391,2.775780738
29183311500,29113810402,25.81796413
29183311500,other,15.14572404
29183311500,29183310100,10.73059596
29183311500,29183310201,5.723466916
29183311500,29183310202,0.835121532
29183311500,29183310301,1.535399884
29183311500,29183310602,3.13535976
29183310802,29183311500,1.436194835
29183310801,29183311500,4.774318691
29183311500,29183312400,5.632433294
29183311500,29183311602,1.930728845
29183311500,29183311603,2.015654678
29183311500,29183311604,4.155478431
29183311500,29183311801,3.631088394
29183311735,29183311721,1.859636075
29183311733,29183311721,0.835411289
29183311740,29183311721,1.128439749
29183311739,29183311721,1.032672406
29183312095,29183311801,2.41096838
29183311604,29183311801,2.007174233
29183311903,29183312095,7.691785097
29183311903,29183311909,5.281663848
29183311903,29183311908,2.111260382
29183311903,29183312193,2.303882041
29183311903,29183312193,0
29183311903,29183312195,0
29183311903,29183312095,0
29183312193,29183312195,0
29183312193,29183312095,0
29183312195,29183312095,0
29183310100,other,66.68301194
29189210101,29183310100,15.91332703
29183310100,29189210927,13.90118759
29189210921,29183310100,4.983873222
29183310100,29189211334,8.983917498
29183310100,29189211401,5.241371551
29183310100,29189213102,0
29183310100,29183310400,0
29183310100,29189211401,0
29189213102,29183310400,0
29189213102,29189211401,0
29183310400,29189211401,0
29183310100,29183310400,1.042331692
29183310202,29183310100,4.398640801
29183310100,29183310201,3.041844671
29183310400,29183310302,3.233970568
29183310202,29183310400,0.886032453
29189213102,29183310400,2.114987526
29183310502,29183310400,1.773007111
29183311149,29183311122,1.697046823
29183311150,29183311122,2.335818104
29097010700,29097010902,1.006203972
29097010700,29097010800,1.93569131
29097010700,29097010602,2.521294698
29097010700,29097010500,0.656040293
29097010700,29145020501,0.008712309
29097010700,29145020502,4.022822769
29097011000,29097010901,1.018739458
29097011000,29097011202,1.498281856
29097011000,29097011100,2.117803786
29097011000,29097010100,1.374865503
29097011000,29097010601,0.922572976
29097011000,29097010800,2.031304806
29097011100,29097011202,4.590118864
29097011201,29097011100,4.230446555
29097011100,29097010200,0.227108492
29097011100,29097010100,1.953907203
29183311294,29183311203,2.026998653
29183311294,29183311296,1.834210609
29183311331,29183311294,1.373265565
29097011301,29097011400,1.366765915
29097011502,29097011400,8.725838247
29097011501,29097011400,5.346315612
29097010301,29097011400,0.749090996
29097010302,29097011400,3.997079225
29097011201,29097011400,2.503679385
29097011502,29097011600,3.960773259
29097012202,29097011600,6.651073442
29097012100,29097011600,9.321732524
29097011700,29097011600,5.025775985
29097011800,29097011600,6.447225757
29097011800,29097011700,4.676371633
29097012100,29097011700,2.314451509
29097011700,29097012000,6.466518723
29097011900,29097011800,0
29097011900,29097011700,0
29097011900,29097012000,0
29097011800,29097011700,0
29097011800,29097012000,0
29097011700,29097012000,0
29183312400,29183311311,2.204139664
29183311203,29183311311,2.076358114
29097011502,29097011800,3.526160721
29097011900,29097011800,6.147973759
29009960500,29009960401,28.60347693
29009960402,29009960500,20.53234711
29009960500,29009960202,12.80422183
29009960500,29009960102,30.7413304
29009960401,29009960600,10.75423453
29009960102,29009960600,34.98492654
29209090401,29209090202,0
29209090401,29009960102,0
29209090401,29009960600,0
29209090202,29009960102,0
29209090202,29009960600,0
29009960102,29009960600,0
29209090401,29009960600,12.02667409
29009960600,other,18.82749126
29185480100,29013070400,15.18038247
29185480100,29083950400,53.53146165
29185480100,29185480300,49.8687971
29185480100,29185480200,53.23487375
29185480300,29185480200,82.60191976
29083950400,29185480300,9.607743283
29015460702,29185480300,3.846453082
29015460701,29185480300,17.66070362
29185480300,29085470100,20.98886325
29185480300,29085470501,7.270490618
29217950100,29185480200,18.80006833
29013070400,29185480200,9.347418879
29085470501,29185480200,12.13023356
29167960101,29185480200,4.863530283
29167960102,29185480200,1.168260359
29039870101,29185480200,23.50473017
29039870102,29185480200,20.59669714
29039870200,29185480200,12.08931533
29183310700,29183310901,2.668648153
29183310700,29183310901,0
29183310700,29183311004,0
29183310700,29183310501,0
29183310901,29183311004,0
29183310901,29183310501,0
29183311004,29183310501,0
29183310901,29183311004,1.72818338
29183311114,29183311124,6.178816073
29017950100,29017950200,47.74451277
29031880300,29017950200,20.30836166
29017950300,29017950200,54.73541184
29017950300,29223690100,50.21883236
29017950300,29123960100,15.47762166
29017950100,29017950300,6.213081851
29017950300,29031880300,12.45846238
29207470100,29017950300,20.35823692
29207470200,29017950300,18.82467517
29017950100,29157470200,20.47425863
29017950100,29157470500,10.83696541
29017950100,29031880100,13.8322386
29017950100,29031880200,12.79724597
29017950100,29031880300,6.595336116
29017950100,29123960100,32.18903023
29049960100,29025950202,2.165261011
29025950202,29063080102,5.975775413
29061470200,29025950202,23.65054019
29025950100,29025950202,14.58503245
29025950201,29025950202,28.71280543
29049960202,29025950202,0.784023956
29049960202,29025950201,27.2878458
29025950100,29025950201,33.2557725
29025950201,29177080100,7.009869462
29177080002,29025950201,17.90979858
29047021003,29047021004,1.996138252
29047021104,29047021003,0
29047021104,29047021004,0
29047021104,29047021105,0
29047021003,29047021004,0
29047021003,29047021105,0
29047021004,29047021105,0
29047021104,29047021003,2.0195821
29047021003,29047020901,4.136297155
29047021003,29047021004,0
29047021003,29047020300,0
29047021003,29047020901,0
29047021004,29047020300,0
29047021004,29047020901,0
29047020300,29047020901,0
29183311151,29183311124,4.08271833
29183311152,29183311124,2.37972533
29183311152,29183311739,0
29183311152,29183311124,0
29183311152,29183311732,0
29183311739,29183311124,0
29183311739,29183311732,0
29183311124,29183311732,0
29183311739,29183311124,2.64642263
29183311740,29183311124,2.940748306
29183980000,29183311124,1.471749129
29183312400,29183311203,3.301664583
29183311904,29183311732,0.960409043
29183311737,29183311732,2.032105521
29183311738,29183311732,2.241605596
29183311733,29183311735,0
29183311733,29183311738,0
29183311733,29183311732,0
29183311735,29183311738,0
29183311735,29183311732,0
29183311738,29183311732,0
29183311735,29183311732,2.428404725
29183311739,29183311732,0.789098698
29183311152,29183311732,1.369617003
29183311154,29183311732,2.612465622
29009960201,29009960302,14.15327088
29009960302,29109470402,0.835659119
29009960301,29009960302,7.82008163
29009960302,29009960202,9.815208193
29009960301,29109470402,3.160900703
29009960301,29109470401,3.966530643
29009960301,29009960202,0.249613923
29009960201,29009960202,12.98619462
29109470401,29009960202,2.002269129
29109470300,29009960202,6.995369287
29009960202,29009960101,39.35045198
29009960102,29009960202,6.080956839
29009960402,29009960202,9.841073633
29009960102,29009960101,29.16817808
29209090202,29009960102,15.41035486
29009960401,29009960102,7.469429709
29109470300,29009960101,7.006185883
29109470501,29009960101,16.00650735
29209090102,29009960101,13.42583539
29209090202,29009960101,22.00657686
29145021000,29009960201,25.59343
29009960201,29109470402,9.998324455
29009960402,29009960201,21.9766795
29009960201,29119070102,0.19440434
29163460100,29163460200,25.01688808
29163460100,other,1.901616376
29163460300,29163460200,74.59998837
29173470200,29163460200,5.304781934
29173470100,29163460200,21.01887229
29163460200,other,42.30660386
29163460200,29163460500,31.36913021
29163460400,29163460200,11.07336712
29163460400,29163460300,34.46177157
29163460300,29163460500,16.27754456
29163460500,other,32.17404693
29113810100,29163460500,24.55644143
29113810206,29163460500,11.25265978
29163460300,29173470200,10.57486899
29163460300,29113810206,25.79520052
29163460300,29113810205,8.02089722
29139970100,29163460300,15.97304621
29007950200,29163460300,20.4781149
29163460300,29007950100,4.067295591
29173470300,29163460300,18.39706485
29183310700,29183310802,2.212128613
29183310700,29183310602,3.038062825
29183310700,29183310601,1.627630672
29183310700,29183310501,1.125783027
29183311211,29183311296,4.297083442
29183311211,29183312300,1.49089932
29183311211,29183311146,1.333304093
29183311211,29183311145,1.016865948
29183311211,29183311147,1.615499566
29037060500,29037060800,6.024797649
29037060500,29037060402,8.390511402
29037060500,29037060602,9.461652204
29037060500,29037060601,18.2252372
29095013917,29037060500,0
29095013917,29037060402,0
29095013917,29095013502,0
29037060500,29037060402,0
29037060500,29095013502,0
29037060402,29095013502,0
29095013917,29037060500,18.14949762
29037060500,29101960101,4.158147988
29037060500,29037060700,18.08532186
29037060001,29037060100,10.24324418
29095013405,29037060100,2.251263666
29095013405,29037060001,5.926643231
29037060004,29037060001,4.02966682
29037060004,29037060001,0
29037060004,29037061300,0
29037060004,29037060202,0
29037060001,29037061300,0
29037060001,29037060202,0
29037061300,29037060202,0
29037060001,29037060202,8.85075429
29037060001,other,4.99088948
29013070200,29037061100,21.4343418
29037061100,other,26.98519737
29037061001,29037061100,13.98694003
29037061100,29037061002,3.626083576
29037060800,29037061100,20.46345143
29037061200,29037061100,12.05811405
29013070100,29037061100,1.623628981
29037060800,29037061002,16.51110884
29037060308,29037060402,0
29037060308,29037060800,0
29037060308,29037061002,0
29037060402,29037060800,0
29037060402,29037061002,0
29037060800,29037061002,0
29037060402,29037060800,12.02239703
29037060700,29037060800,21.77431188
29037061200,29037060800,12.03958786
29037060800,other,13.43151274
29037060800,29037061400,14.83483556
29037060904,29037060800,15.95212052
29037061001,other,16.18969342
29037061001,29037060202,7.804432104
29037061001,29037061300,10.37816185
29037060305,29037061001,0.074718257
29037061001,29037061002,12.09191032
29175490600,29007950300,14.02985872
29137960300,29007950300,20.4013905
29137960200,29007950300,12.1597846
29007950200,29007950300,36.27355378
29007950500,29007950300,12.49626831
29007950600,29007950300,18.50561239
29007950700,29007950300,1.209015836
29027070100,29007950300,15.44310657
29019001903,29007950300,12.1998473
29019002000,29007950300,22.17919914
29019001904,29007950300,12.42782328
29007950600,29007950700,8.81178519
29007950500,29007950700,1.442380991
29007950400,29007950700,9.461873574
29007950200,29007950700,23.67306347
29137960200,29007950200,6.0227602
29137960100,29007950200,24.78027891
29173470300,29007950200,19.85922836
29007950200,29007950100,16.90691716
29139970100,29007950200,35.94391817
29027070100,29007950200,35.7159986
29007950400,29007950200,23.23852627
29007950500,29007950200,6.014390854
29007950400,29007950500,6.260553434
29189211900,29189212500,1.639562614
29189211802,29189211900,0.890656238
29189211900,29189211801,1.552271311
29189211900,29189210502,1.292533458
29189211900,29189212002,3.351795659
29189213701,29189212300,1.817086984
29189212400,29189212701,0
29189212400,29189213701,0
29189212400,29189212300,0
29189212701,29189213701,0
29189212701,29189212300,0
29189213701,29189212300,0
29189212400,29189212300,2.911040542
29189212300,29189212102,1.034351875
29189212201,29189212300,1.570596183
29189213702,29189212201,0
29189213702,29189212300,0
29189213702,29189213800,0
29189212201,29189212300,0
29189212201,29189213800,0
29189212300,29189213800,0
29189213702,29189212300,1.581783738
29189212400,29189212701,3.434485116
29189212400,29189212500,2.952082838
29189212400,29189212002,1.050743431
29189212400,29189212003,0
